dx,NX,imposed_poro,k_in_micron2,effective_poro
0.0000010000, 200, 0.901149, 17.062918, 0.901125
0.0000010000, 200, 0.899670, 17.332299, 0.900350
0.0000010000, 200, 0.898502, 25.298547, 0.899725
0.0000010000, 200, 0.896323, 29.380883, 0.899800
0.0000010000, 200, 0.915141, 38.625643, 0.917475
0.0000010000, 200, 0.895877, 14.878405, 0.893850
0.0000010000, 200, 0.901032, 56.041116, 0.899125
0.0000010000, 200, 0.887945, 16.896665, 0.891175
0.0000010000, 200, 0.902503, 27.807140, 0.906525
0.0000010000, 200, 0.912207, 30.802297, 0.916550
0.0000010000, 200, 0.892306, 21.591728, 0.895975
0.0000010000, 200, 0.886080, 21.109548, 0.886075
0.0000010000, 200, 0.906128, 52.845281, 0.902900
0.0000010000, 200, 0.895775, 18.928145, 0.893900
0.0000010000, 200, 0.896167, 25.951097, 0.894725
0.0000010000, 200, 0.887413, 13.126250, 0.889125
0.0000010000, 200, 0.911937, 31.425749, 0.913175
0.0000010000, 200, 0.890483, 21.307508, 0.887425
0.0000010000, 200, 0.907086, 34.371218, 0.908200
0.0000010000, 200, 0.901842, 38.508177, 0.900525
0.0000010000, 200, 0.899298, 25.284477, 0.899000
0.0000010000, 200, 0.888780, 18.863898, 0.888850
0.0000010000, 200, 0.901471, 22.663953, 0.899725
0.0000010000, 200, 0.903243, 23.545133, 0.901225
0.0000010000, 200, 0.899218, 40.173280, 0.899400
0.0000010000, 200, 0.901317, 20.274675, 0.902350
0.0000010000, 200, 0.906761, 43.556489, 0.905225
0.0000010000, 200, 0.890376, 9.961555, 0.890625
0.0000010000, 200, 0.904746, 38.710147, 0.904500
0.0000010000, 200, 0.903551, 30.258134, 0.903450
0.0000010000, 200, 0.890040, 22.954305, 0.892875
0.0000010000, 200, 0.899033, 40.492794, 0.899200
0.0000010000, 200, 0.903138, 20.838416, 0.903900
0.0000010000, 200, 0.907043, 29.299924, 0.908875
0.0000010000, 200, 0.899478, 32.310857, 0.898900
0.0000010000, 200, 0.892752, 17.647648, 0.889475
0.0000010000, 200, 0.893508, 15.829757, 0.896050
0.0000010000, 200, 0.906023, 19.835506, 0.904725
0.0000010000, 200, 0.910948, 32.456178, 0.912825
0.0000010000, 200, 0.906653, 22.304441, 0.902650
0.0000010000, 200, 0.894370, 16.733837, 0.896400
0.0000010000, 200, 0.890902, 28.010657, 0.890700
0.0000010000, 200, 0.897956, 19.507316, 0.898075
0.0000010000, 200, 0.901196, 23.243548, 0.900300
0.0000010000, 200, 0.900708, 33.345236, 0.900625
0.0000010000, 200, 0.899913, 23.024704, 0.901925
0.0000010000, 200, 0.914984, 57.797927, 0.914150
0.0000010000, 200, 0.897373, 23.557509, 0.899300
0.0000010000, 200, 0.891925, 25.196656, 0.889450
0.0000010000, 200, 0.899688, 26.964973, 0.898950
0.0000010000, 200, 0.902366, 40.597313, 0.903525
0.0000010000, 200, 0.901310, 19.659362, 0.902025
0.0000010000, 200, 0.907254, 23.485472, 0.909325
